States & UT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,
Uttar Pradesh,"166,053,600",169101588.8,172149577.6,175197566.5,178245555.3,181293544.1,184341532.9,187389521.7,190437510.5,193485499.4,"199,581,477",202629465.8,3047988.818
Maharashtra,"96,752,500",98172542.91,99592585.82,101012628.7,102432671.6,103852714.5,105272757.5,106692800.4,108112843.3,109532886.2,"112,372,972",113793014.9,1420042.909
Bihar,"82,879,910",84782157.27,86684404.55,88586651.82,90488899.09,92391146.36,94293393.64,96195640.91,98097888.18,100000135.5,"103,804,630",105706877.3,1902247.273
West Bengal,"80,221,300",81232794.18,82244288.36,83255782.55,84267276.73,85278770.91,86290265.09,87301759.27,88313253.45,89324747.64,"91,347,736",92359230.18,1011494.182
Madhya Pradesh,"60,385,090",61495315,62605540,63715765,64825990,65936215,67046440,68156665,69266890,70377115,"72,597,565",73707790,1110225
Tamil Nadu,"62,111,390",63022987.09,63934584.18,64846181.27,65757778.36,66669375.45,67580972.55,68492569.64,69404166.73,70315763.82,"72,138,958",73050555.09,911597.0909
Rajasthan,"56,473,300",57577637.45,58681974.91,59786312.36,60890649.82,61994987.27,63099324.73,64203662.18,65307999.64,66412337.09,"68,621,012",69725349.45,1104337.455
Karnataka,"52,734,986",53498233.09,54261480.18,55024727.27,55787974.36,56551221.45,57314468.55,58077715.64,58840962.73,59604209.82,"61,130,704",61893951.09,763247.0909
Gujarat,"50,597,200",51486875.27,52376550.55,53266225.82,54155901.09,55045576.36,55935251.64,56824926.91,57714602.18,58604277.45,"60,383,628",61273303.27,889675.2727
Andhra Pradesh,"75,728,400",73333709,70939018,68544327,66149636,63754945,61360254,58965563,56570872,54176181,"49,386,799",46992108,-2394691
Odisha,"36,707,901",37184215.27,37660529.55,38136843.82,38613158.09,39089472.36,39565786.64,40042100.91,40518415.18,40994729.45,"41,947,358",42423672.27,476314.2727
Telangana,"20,34,556",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"67,89,123",#VALUE!,#VALUE!
Kerala,"31,839,000",31979788.82,32120577.64,32261366.45,32402155.27,32542944.09,32683732.91,32824521.73,32965310.55,33106099.36,"33,387,677",33528465.82,140788.8182
Jharkhand,"26,946,070",27495348.55,28044627.09,28593905.64,29143184.18,29692462.73,30241741.27,30791019.82,31340298.36,31889576.91,"32,988,134",33537412.55,549278.5455
Assam,"26,638,600",27050479.27,27462358.55,27874237.82,28286117.09,28697996.36,29109875.64,29521754.91,29933634.18,30345513.45,"31,169,272",31581151.27,411879.2727
Punjab,"24,289,130",24599594.18,24910058.36,25220522.55,25530986.73,25841450.91,26151915.09,26462379.27,26772843.45,27083307.64,"27,704,236",28014700.18,310464.1818
Haryana,"21,083,900",21508371,21932842,22357313,22781784,23206255,23630726,24055197,24479668,24904139,"25,753,081",26177552,424471
Chhattisgarh,"20,834,530",21262317.82,21690105.64,22117893.45,22545681.27,22973469.09,23401256.91,23829044.73,24256832.55,24684620.36,"25,540,196",25967983.82,427787.8182
Uttarakhand,"8,489,100",8637068.364,8785036.727,8933005.091,9080973.455,9228941.818,9376910.182,9524878.545,9672846.909,9820815.273,"10,116,752",10264720.36,147968.3636
Himachal Pradesh,"6,077,453",6148276.273,6219099.545,6289922.818,6360746.091,6431569.364,6502392.636,6573215.909,6644039.182,6714862.455,"6,856,509",6927332.273,70823.27273
Tripura,"3,191,880",3235439.273,3278998.545,3322557.818,3366117.091,3409676.364,3453235.636,3496794.909,3540354.182,3583913.455,"3,671,032",3714591.273,43559.27273
Meghalaya,"2,306,540",2366309.727,2426079.455,2485849.182,2545618.909,2605388.636,2665158.364,2724928.091,2784697.818,2844467.545,"2,964,007",3023776.727,59769.72727
Manipur,"2,294,480",2333323.273,2372166.545,2411009.818,2449853.091,2488696.364,2527539.636,2566382.909,2605226.182,2644069.455,"2,721,756",2760599.273,38843.27273
Nagaland,"1,990,275",1989395.636,1988516.273,1987636.909,1986757.545,1985878.182,1984998.818,1984119.455,1983240.091,1982360.727,"1,980,602",1979722.636,-879.3636364
Goa,"1,348,900",1358793,1368686,1378579,1388472,1398365,1408258,1418151,1428044,1437937,"1,457,723",1467616,9893
Arunachal Pradesh,"1,098,328",1124171.909,1150015.818,1175859.727,1201703.636,1227547.545,1253391.455,1279235.364,1305079.273,1330923.182,"1,382,611",1408454.909,25843.90909
Mizoram,"889,690",907992.1818,926294.3636,944596.5455,962898.7273,981200.9091,999503.0909,1017805.273,1036107.455,1054409.636,"1,091,014",1109316.182,18302.18182
Sikkim,"541,902",547882.5455,553863.0909,559843.6364,565824.1818,571804.7273,577785.2727,583765.8182,589746.3636,595726.9091,"607,688",613668.5455,5980.545455
Jammu and Kashmir,"10,070,300",10295629.64,10520959.27,10746288.91,10971618.55,11196948.18,11422277.82,11647607.45,11872937.09,12098266.73,"12,548,926",12774255.64,225329.6364
Delhi,"13,851,503",14115296.82,14379090.64,14642884.45,14906678.27,15170472.09,15434265.91,15698059.73,15961853.55,16225647.36,"16,753,235",17017028.82,263793.8182
Puducherry,"974,820",999333.0909,1023846.182,1048359.273,1072872.364,1097385.455,1121898.545,1146411.636,1170924.727,1195437.818,"1,244,464",1268977.091,24513.09091
Chandigarh,"901,080",915044.1818,929008.3636,942972.5455,956936.7273,970900.9091,984865.0909,998829.2727,1012793.455,1026757.636,"1,054,686",1068650.182,13964.18182
Andaman and Nicobar Islands,"356,650",358767.6364,360885.2727,363002.9091,365120.5455,367238.1818,369355.8182,371473.4545,373591.0909,375708.7273,"379,944",382061.6364,2117.636364
Dadra and Nagar Haveli,"220,963",232043.9091,243124.8182,254205.7273,265286.6364,276367.5455,287448.4545,298529.3636,309610.2727,320691.1818,"342,853",353933.9091,11080.90909
Daman and Diu,"158,080",165791.9091,173503.8182,181215.7273,188927.6364,196639.5455,204351.4545,212063.3636,219775.2727,227487.1818,"242,911",250622.9091,7711.909091
Lakshadweep,"61,300",61584.45455,61868.90909,62153.36364,62437.81818,62722.27273,63006.72727,63291.18182,63575.63636,63860.09091,"64,429",64713.45455,284.4545455
